line_ref,application_no,line_no,work_date,site,item_code,description,unit,site_zone,ground_class,quantity,rate_applied,amount,night_work,record_ref
PA-00001-01,PA-00001,1,2025-09-25,S-03 Access Road,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z2 North Spur,,299,19.61,5863.39,Y,
PA-00001-02,PA-00001,2,2025-10-04,S-03 Access Road,C.32.020,Gully pot and connection to carrier drain,no.,Z2 North Spur,,8,304.22,2433.76,N,
PA-00001-03,PA-00001,3,2025-09-22,S-03 Access Road,A.11.020,"Removal of existing hardstanding, broken out",m2,Z2 North Spur,G5 Sound Rock,93,21.42,1992.06,N,
PA-00001-04,PA-00001,4,2025-09-29,S-03 Access Road,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z2 North Spur,,43,412.34,17730.62,N,PR-00177
PA-00001-05,PA-00001,5,2025-09-23,S-03 Access Road,B.22.010,"Formwork to vertical faces, basic finish",m2,Z2 North Spur,,712,73.44,52289.28,N,
PA-00001-06,PA-00001,6,2025-10-02,S-03 Access Road,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z2 North Spur,G5 Sound Rock,298,59.54,17742.92,Y,DX-00122
PA-00001-07,PA-00001,7,2025-09-24,S-03 Access Road,A.13.010,Disposal of excavated material off site,m3,Z2 North Spur,,204,18.83,3841.32,N,
PA-00001-08,PA-00001,8,2025-09-29,S-03 Access Road,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z2 North Spur,G1 Loose Sand,764,33.71,25754.44,N,
PA-00001-09,PA-00001,9,2025-09-25,S-03 Access Road,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z2 North Spur,,3,870.06,2610.18,N,
PA-00001-10,PA-00001,10,2025-09-18,S-03 Access Road,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,284,474.88,134865.92,N,PR-00170
PA-00002-01,PA-00002,1,2025-02-24,S-02 Platform South,A.12.050,Excavation for manholes and chambers,m3,Z4 Escarpment,G2 Firm Sabkha,205,67.07,13749.35,N,
PA-00002-02,PA-00002,2,2025-02-22,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,188,93.57,17591.16,N,
PA-00002-03,PA-00002,3,2025-02-13,S-02 Platform South,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,383,18.69,7158.27,N,
PA-00002-04,PA-00002,4,2025-03-02,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,134,93.57,12538.38,N,
PA-00002-05,PA-00002,5,2025-02-14,S-02 Platform South,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z4 Escarpment,,74,672.19,49742.06,N,PR-00015
PA-00002-06,PA-00002,6,2025-02-28,S-02 Platform South,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z4 Escarpment,,71,81.28,5770.88,N,
PA-00002-07,PA-00002,7,2025-02-28,S-02 Platform South,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z4 Escarpment,G3 Cemented Fill,3,4472.83,13418.49,N,PT-00017
PA-00002-08,PA-00002,8,2025-02-12,S-02 Platform South,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z4 Escarpment,,1,1051.48,1051.48,N,
PA-00002-09,PA-00002,9,2025-02-26,S-02 Platform South,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z4 Escarpment,G1 Loose Sand,68,257.48,17508.64,N,PT-00016
PA-00003-01,PA-00003,1,2026-01-16,S-01 Platform North,A.11.030,"Grubbing up tree roots, girth exceeding 600 mm",no.,Z2 North Spur,,8,156.88,1255.04,N,
PA-00003-02,PA-00003,2,2026-01-15,S-01 Platform North,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z2 North Spur,,81,6.78,549.18,N,
PA-00003-03,PA-00003,3,2026-01-16,S-01 Platform North,D.41.040,"Capping layer, 300 mm compacted",m2,Z2 North Spur,,461,34.56,15932.16,N,CT-00253
PA-00003-04,PA-00003,4,2026-01-11,S-01 Platform North,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z2 North Spur,,4,1685.91,6743.64,N,
PA-00003-05,PA-00003,5,2026-01-20,S-01 Platform North,D.44.010,"Road stud, reflective, bedded in resin",no.,Z2 North Spur,,4,33.71,134.84,N,
PA-00003-06,PA-00003,6,2026-01-15,S-01 Platform North,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z2 North Spur,G5 Sound Rock,5,1873.02,9365.10,N,
PA-00003-07,PA-00003,7,2026-01-21,S-01 Platform North,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z2 North Spur,,527,153.04,80652.08,N,JS-00240
PA-00004-01,PA-00004,1,2026-03-17,S-02 Platform South,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G2 Firm Sabkha,292,54.50,15914.00,N,DX-00203
PA-00004-02,PA-00004,2,2026-03-14,S-02 Platform South,E.53.010,Attendance on statutory undertaker,day,Z3 Wadi Crossing,,1,389.00,389.00,N,
PA-00004-03,PA-00004,3,2026-03-14,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z3 Wadi Crossing,,173,16.95,2932.35,N,
PA-00004-04,PA-00004,4,2026-03-17,S-02 Platform South,A.12.060,Trimming of formation to level and gradient,m2,Z3 Wadi Crossing,,164,7.90,1295.60,N,
PA-00004-05,PA-00004,5,2026-03-16,S-02 Platform South,A.11.020,"Removal of existing hardstanding, broken out",m2,Z3 Wadi Crossing,G2 Firm Sabkha,493,14.20,7000.60,N,
PA-00004-06,PA-00004,6,2026-03-12,S-02 Platform South,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z3 Wadi Crossing,,540,105.11,56759.40,N,
PA-00004-07,PA-00004,7,2026-03-15,S-02 Platform South,B.22.010,"Formwork to vertical faces, basic finish",m2,Z3 Wadi Crossing,,798,79.33,63305.34,N,
PA-00004-08,PA-00004,8,2026-03-15,S-02 Platform South,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G1 Loose Sand,150,54.50,8175.00,N,DX-00201
PA-00004-09,PA-00004,9,2026-03-14,S-02 Platform South,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z3 Wadi Crossing,G3 Cemented Fill,5,2023.22,10116.10,N,
PA-00004-10,PA-00004,10,2026-03-13,S-02 Platform South,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z3 Wadi Crossing,,846,105.11,88923.06,N,
PA-00004-11,PA-00004,11,2026-03-17,S-02 Platform South,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z3 Wadi Crossing,G4 Weathered Rock,402,56.68,22785.36,N,
PA-00004-12,PA-00004,12,2026-03-11,S-02 Platform South,A.13.030,Double handling of stockpiled material,m3,Z3 Wadi Crossing,,108,11.22,1211.76,N,
PA-00005-01,PA-00005,1,2026-06-20,S-02 Platform South,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z4 Escarpment,G3 Cemented Fill,141,43.21,6092.61,N,
PA-00005-02,PA-00005,2,2026-06-18,S-02 Platform South,A.12.010,General excavation to reduce level,m3,Z4 Escarpment,G3 Cemented Fill,170,26.42,4491.40,N,
PA-00005-03,PA-00005,3,2026-06-11,S-02 Platform South,B.21.010,"Blinding concrete, C15/20, thickness 75 mm",m2,Z4 Escarpment,,347,37.89,13147.83,N,
PA-00005-04,PA-00005,4,2026-06-11,S-02 Platform South,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z4 Escarpment,,213,82.94,17666.22,N,
PA-00005-05,PA-00005,5,2026-06-20,S-02 Platform South,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G5 Sound Rock,53,124.79,6613.87,N,
PA-00005-06,PA-00005,6,2026-06-15,S-02 Platform South,A.14.020,Backfilling to trenches with selected arisings,m3,Z4 Escarpment,G5 Sound Rock,37,28.67,1060.79,N,
PA-00005-07,PA-00005,7,2026-06-11,S-02 Platform South,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z4 Escarpment,G2 Firm Sabkha,787,63.36,49864.32,N,
PA-00005-08,PA-00005,8,2026-06-14,S-02 Platform South,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z4 Escarpment,,1,1950.72,1950.72,N,DW-00101
PA-00005-09,PA-00005,9,2026-06-12,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z4 Escarpment,,327,18.94,6193.38,N,
PA-00005-10,PA-00005,10,2026-06-20,S-02 Platform South,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z4 Escarpment,,676,49.22,33272.72,N,CT-00343
PA-00006-01,PA-00006,1,2026-04-17,S-05 Compound Extension,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z4 Escarpment,G4 Weathered Rock,269,273.92,73684.48,N,PT-00223
PA-00006-02,PA-00006,2,2026-04-27,S-05 Compound Extension,A.13.010,Disposal of excavated material off site,m3,Z4 Escarpment,,285,24.19,6894.15,N,
PA-00006-03,PA-00006,3,2026-04-25,S-05 Compound Extension,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z4 Escarpment,,274,54.53,14941.22,N,
PA-00006-04,PA-00006,4,2026-04-18,S-05 Compound Extension,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z4 Escarpment,G2 Firm Sabkha,3,3674.11,11022.33,N,PT-00224
PA-00006-05,PA-00006,5,2026-04-23,S-05 Compound Extension,A.11.020,"Removal of existing hardstanding, broken out",m2,Z4 Escarpment,G2 Firm Sabkha,274,15.87,4348.38,N,
PA-00006-06,PA-00006,6,2026-04-24,S-05 Compound Extension,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z4 Escarpment,G4 Weathered Rock,290,60.93,17669.70,N,DX-00211
PA-00006-07,PA-00006,7,2026-04-20,S-05 Compound Extension,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z4 Escarpment,,160,82.94,13270.40,N,
PA-00006-08,PA-00006,8,2026-04-25,S-05 Compound Extension,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z4 Escarpment,,691,4.93,3406.63,N,
PA-00006-09,PA-00006,9,2026-04-21,S-05 Compound Extension,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z4 Escarpment,,352,497.92,175267.84,N,PR-00302
PA-00006-10,PA-00006,10,2026-04-18,S-05 Compound Extension,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z4 Escarpment,,823,4.93,4057.39,N,
PA-00006-11,PA-00006,11,2026-04-25,S-05 Compound Extension,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z4 Escarpment,,1,1950.72,1950.72,N,DW-00085
PA-00006-12,PA-00006,12,2026-04-22,S-05 Compound Extension,E.51.010,"Wet weather standby, plant and operator",hour,Z4 Escarpment,,1,246.00,246.00,N,MO-00111
PA-00006-13,PA-00006,13,2026-04-25,S-05 Compound Extension,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z4 Escarpment,,191,18.94,3617.54,N,
PA-00006-14,PA-00006,14,2026-04-23,S-05 Compound Extension,A.14.010,"Imported granular fill, placed and compacted",m3,Z4 Escarpment,,332,69.07,22931.24,N,CT-00308
PA-00007-01,PA-00007,1,2025-10-20,S-02 Platform South,E.53.010,Attendance on statutory undertaker,day,Z1 Compound,,1,389.00,389.00,N,
PA-00007-02,PA-00007,2,2025-10-11,S-02 Platform South,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z1 Compound,,255,71.20,18156.00,N,
