application_no,contract_ref,subcontractor,site,site_zone,period_from,period_to,application_date,application_total,retention,net_payable,adjustment,retention_released
PA-00001,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-09-18,2025-10-04,2025-10-20,265123.89,13256.19,251867.70,0.00,0.00
PA-00002,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-02-12,2025-03-02,2025-03-21,138528.71,6926.43,131602.28,0.00,0.00
PA-00003,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-01-11,2026-01-21,2026-02-03,114632.04,5731.60,108900.44,0.00,0.00
PA-00004,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-03-11,2026-03-17,2026-03-25,278807.57,13940.37,264867.20,0.00,0.00
PA-00005,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-06-11,2026-06-20,2026-06-23,140353.86,7017.69,133336.17,0.00,0.00
PA-00006,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-04-17,2026-04-27,2026-05-12,353308.02,17665.40,335642.62,0.00,0.00
PA-00007,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-10-10,2025-10-23,2025-10-25,106034.34,5301.71,100732.63,0.00,0.00
PA-00008,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-05-03,2026-05-18,2026-05-26,100206.43,5010.32,95196.11,0.00,0.00
PA-00009,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-12-11,2025-12-25,2025-12-31,106948.61,5347.43,101601.18,0.00,0.00
PA-00010,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-05-04,2026-05-11,2026-05-23,280625.29,14031.26,266594.03,0.00,0.00
