line_ref,invoice_no,line_no,service_date,well_name,service_code,description,unit,hole_section,day_status,depth_from_m,depth_to_m,quantity,unit_rate,amount,report_ref
MDS-00001-001,MDS-00001,1,01-Jan-2025,NGP-BD-194,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-194-20250101
MDS-00001-002,MDS-00001,2,01-Jan-2025,NGP-BD-194,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-194-20250101
MDS-00001-003,MDS-00001,3,01-Jan-2025,NGP-BD-194,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-194-20250101
MDS-00001-004,MDS-00001,4,01-Jan-2025,NGP-BD-194,DD-140,Well planning and anti-collision study,well,"26""",Operating,,,1,12489.50,12489.50,DDR-194-20250101
MDS-00001-005,MDS-00001,5,01-Jan-2025,NGP-BD-194,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-194-20250101
MDS-00001-006,MDS-00001,6,01-Jan-2025,NGP-BD-194,MB-701,Mobilisation to rig site,well,"26""",Operating,,,1,18497.50,18497.50,DDR-194-20250101
MDS-00001-007,MDS-00001,7,01-Jan-2025,NGP-BD-194,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-194-20250101
MDS-00001-008,MDS-00001,8,01-Jan-2025,NGP-BD-194,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-194-20250101
MDS-00001-009,MDS-00001,9,01-Jan-2025,NGP-BD-194,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-194-20250101
MDS-00001-010,MDS-00001,10,02-Jan-2025,NGP-BD-194,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-194-20250102
MDS-00001-011,MDS-00001,11,02-Jan-2025,NGP-BD-194,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-194-20250102
MDS-00001-012,MDS-00001,12,02-Jan-2025,NGP-BD-194,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-194-20250102
MDS-00001-013,MDS-00001,13,02-Jan-2025,NGP-BD-194,DD-130,Gyro survey,survey,"26""",Operating,,,2,2446.15,4892.30,DDR-194-20250102
MDS-00001-014,MDS-00001,14,02-Jan-2025,NGP-BD-194,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-194-20250102
MDS-00001-015,MDS-00001,15,02-Jan-2025,NGP-BD-194,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-194-20250102
MDS-00001-016,MDS-00001,16,02-Jan-2025,NGP-BD-194,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-194-20250102
MDS-00001-017,MDS-00001,17,02-Jan-2025,NGP-BD-194,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-194-20250102
MDS-00001-018,MDS-00001,18,03-Jan-2025,NGP-BD-194,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-194-20250103
MDS-00001-019,MDS-00001,19,03-Jan-2025,NGP-BD-194,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-194-20250103
MDS-00001-020,MDS-00001,20,03-Jan-2025,NGP-BD-194,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-194-20250103
MDS-00001-021,MDS-00001,21,03-Jan-2025,NGP-BD-194,DD-111,Motor redress and inspection,run,"26""",Operating,,,1,3589.45,3589.45,DDR-194-20250103
MDS-00001-022,MDS-00001,22,03-Jan-2025,NGP-BD-194,HC-610,Wiper trip supervision,trip,"26""",Operating,,,1,1947.15,1947.15,DDR-194-20250103
MDS-00001-023,MDS-00001,23,03-Jan-2025,NGP-BD-194,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-194-20250103
MDS-00001-024,MDS-00001,24,03-Jan-2025,NGP-BD-194,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-194-20250103
MDS-00001-025,MDS-00001,25,03-Jan-2025,NGP-BD-194,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-194-20250103
MDS-00001-026,MDS-00001,26,03-Jan-2025,NGP-BD-194,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-194-20250103
MDS-00001-027,MDS-00001,27,03-Jan-2025,NGP-BD-194,RM-530,Back-reaming while tripping,hour,"26""",Operating,,,4,264.55,1058.20,DDR-194-20250103
MDS-00001-028,MDS-00001,28,04-Jan-2025,NGP-BD-194,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-194-20250104
MDS-00001-029,MDS-00001,29,04-Jan-2025,NGP-BD-194,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-194-20250104
MDS-00001-030,MDS-00001,30,04-Jan-2025,NGP-BD-194,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-194-20250104
MDS-00001-031,MDS-00001,31,04-Jan-2025,NGP-BD-194,DD-130,Gyro survey,survey,"17-1/2""",Operating,,,1,2446.15,2446.15,DDR-194-20250104
MDS-00001-032,MDS-00001,32,04-Jan-2025,NGP-BD-194,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-194-20250104
MDS-00001-033,MDS-00001,33,04-Jan-2025,NGP-BD-194,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,539.65,539.65,DDR-194-20250104
MDS-00001-034,MDS-00001,34,04-Jan-2025,NGP-BD-194,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-194-20250104
MDS-00001-035,MDS-00001,35,04-Jan-2025,NGP-BD-194,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2571.50,2571.50,DDR-194-20250104
MDS-00001-036,MDS-00001,36,04-Jan-2025,NGP-BD-194,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-194-20250104
MDS-00001-037,MDS-00001,37,04-Jan-2025,NGP-BD-194,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-194-20250104
MDS-00002-001,MDS-00002,1,01-Jan-2025,NGP-WS-141,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-141-20250101
MDS-00002-002,MDS-00002,2,01-Jan-2025,NGP-WS-141,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-141-20250101
MDS-00002-003,MDS-00002,3,01-Jan-2025,NGP-WS-141,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-141-20250101
MDS-00002-004,MDS-00002,4,01-Jan-2025,NGP-WS-141,DD-140,Well planning and anti-collision study,well,"26""",Operating,,,1,12489.50,12489.50,DDR-141-20250101
MDS-00002-005,MDS-00002,5,01-Jan-2025,NGP-WS-141,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-141-20250101
MDS-00002-006,MDS-00002,6,01-Jan-2025,NGP-WS-141,MB-701,Mobilisation to rig site,well,"26""",Operating,,,1,18497.50,18497.50,DDR-141-20250101
MDS-00002-007,MDS-00002,7,01-Jan-2025,NGP-WS-141,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-141-20250101
MDS-00002-008,MDS-00002,8,01-Jan-2025,NGP-WS-141,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-141-20250101
MDS-00002-009,MDS-00002,9,01-Jan-2025,NGP-WS-141,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-141-20250101
MDS-00002-010,MDS-00002,10,02-Jan-2025,NGP-WS-141,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-141-20250102
MDS-00002-011,MDS-00002,11,02-Jan-2025,NGP-WS-141,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-141-20250102
MDS-00002-012,MDS-00002,12,02-Jan-2025,NGP-WS-141,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-141-20250102
MDS-00002-013,MDS-00002,13,02-Jan-2025,NGP-WS-141,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-141-20250102
MDS-00002-014,MDS-00002,14,02-Jan-2025,NGP-WS-141,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-141-20250102
MDS-00002-015,MDS-00002,15,02-Jan-2025,NGP-WS-141,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-141-20250102
MDS-00002-016,MDS-00002,16,02-Jan-2025,NGP-WS-141,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-141-20250102
MDS-00002-017,MDS-00002,17,03-Jan-2025,NGP-WS-141,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-141-20250103
MDS-00002-018,MDS-00002,18,03-Jan-2025,NGP-WS-141,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-141-20250103
MDS-00002-019,MDS-00002,19,03-Jan-2025,NGP-WS-141,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-141-20250103
MDS-00002-020,MDS-00002,20,03-Jan-2025,NGP-WS-141,DD-111,Motor redress and inspection,run,"26""",Operating,,,1,3589.45,3589.45,DDR-141-20250103
MDS-00002-021,MDS-00002,21,03-Jan-2025,NGP-WS-141,HC-610,Wiper trip supervision,trip,"26""",Operating,,,1,1947.15,1947.15,DDR-141-20250103
MDS-00002-022,MDS-00002,22,03-Jan-2025,NGP-WS-141,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-141-20250103
MDS-00002-023,MDS-00002,23,03-Jan-2025,NGP-WS-141,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-141-20250103
MDS-00002-024,MDS-00002,24,03-Jan-2025,NGP-WS-141,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,2953.29,2953.29,DDR-141-20250103
