invoice_no,contract_ref,contractor,well_name,rig,field,well_class,period_start,period_end,invoice_date,net_amount,vat_amount,invoice_total,adjustment
MDS-00001,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,01-Jan-2025,04-Jan-2025,27-Jan-2025,99820.36,14973.05,114793.41,0.00
MDS-00002,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,01-Jan-2025,04-Jan-2025,07-Jan-2025,93275.56,13991.33,107266.89,0.00
MDS-00003,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,04-Jan-2025,07-Jan-2025,05-Feb-2025,100727.10,15109.06,115836.16,0.00
MDS-00004,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,04-Jan-2025,09-Jan-2025,28-Jan-2025,125783.68,18867.55,144651.23,0.00
MDS-00005,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,05-Jan-2025,09-Jan-2025,21-Jan-2025,101986.72,15298.01,117284.73,0.00
MDS-00006,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,05-Jan-2025,07-Jan-2025,15-Jan-2025,42269.46,6340.42,48609.88,0.00
MDS-00007,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,05-Jan-2025,09-Jan-2025,30-Jan-2025,72895.25,10934.29,83829.54,0.00
MDS-00008,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,05-Jan-2025,08-Jan-2025,26-Jan-2025,92746.46,13911.97,106658.43,0.00
MDS-00009,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,06-Jan-2025,11-Jan-2025,04-Feb-2025,125289.30,18793.40,144082.70,0.00
MDS-00010,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,07-Jan-2025,11-Jan-2025,15-Jan-2025,119335.94,17900.39,137236.33,0.00
MDS-00011,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,08-Jan-2025,10-Jan-2025,05-Feb-2025,47222.83,7083.42,54306.25,0.00
MDS-00012,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,08-Jan-2025,11-Jan-2025,18-Jan-2025,61251.58,9187.74,70439.32,0.00
MDS-00013,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,08-Jan-2025,11-Jan-2025,31-Jan-2025,94482.41,14172.36,108654.77,0.00
MDS-00014,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,08-Jan-2025,10-Jan-2025,04-Feb-2025,80207.13,12031.07,92238.20,0.00
MDS-00015,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,09-Jan-2025,11-Jan-2025,09-Feb-2025,42269.46,6340.42,48609.88,0.00
MDS-00016,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,10-Jan-2025,14-Jan-2025,01-Feb-2025,83823.15,12573.47,96396.62,0.00
MDS-00017,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,10-Jan-2025,12-Jan-2025,27-Jan-2025,44776.68,6716.50,51493.18,0.00
MDS-00018,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,10-Jan-2025,13-Jan-2025,16-Jan-2025,1332632.44,199894.87,1532527.31,0.00
MDS-00019,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,11-Jan-2025,13-Jan-2025,07-Feb-2025,54561.28,8184.19,62745.47,0.00
MDS-00020,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,11-Jan-2025,16-Jan-2025,10-Feb-2025,123562.07,18534.31,142096.38,0.00
MDS-00021,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,11-Jan-2025,15-Jan-2025,06-Feb-2025,77645.25,11646.79,89292.04,0.00
MDS-00022,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,12-Jan-2025,17-Jan-2025,09-Feb-2025,179456.66,26918.50,206375.16,0.00
MDS-00023,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,12-Jan-2025,15-Jan-2025,24-Jan-2025,59356.42,8903.46,68259.88,0.00
MDS-00024,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,12-Jan-2025,15-Jan-2025,21-Jan-2025,63051.62,9457.74,72509.36,0.00
MDS-00025,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,12-Jan-2025,15-Jan-2025,31-Jan-2025,89199.26,13379.89,102579.15,0.00
MDS-00026,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,12-Jan-2025,16-Jan-2025,25-Jan-2025,77043.90,11556.58,88600.48,0.00
MDS-00027,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,13-Jan-2025,15-Jan-2025,01-Feb-2025,78392.09,11758.81,90150.90,0.00
MDS-00028,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,13-Jan-2025,16-Jan-2025,03-Feb-2025,101618.51,15242.78,116861.29,0.00
